DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;8011.0
A.1B (Ferrandiz): consumo electrico general;25928.0
A.1C (Carbonell): consumo electrico general;42763.0
A.1D (Deportes): consumo electrico general;32279.0
Consumo electrico del edificio V.5Q;13692.0
Consumo electrico general;18522.0
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;616035.0
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;70835.0
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;23350.0
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;3677.0
Consumo electrico general de los edificios V.1A, V.1B y V.1D;47191.0
Consumo electrico general de los edificios V.1E y V.1H;18140.0
Consumo electrico general de los edificios V.2E y V.3A;29184.0
Consumo electrico general de los edificios V.5C y V.5D;16710.0
Consumo electrico general de los edificios V.7I y V.7J;72136.0
Consumo electrico general del campo de futbol;1473.0
Consumo electrico general del edificio V.1C;13905.0
Consumo electrico general del edificio V.1F;36448.0
Consumo electrico general del edificio V.1G;53737.0
Consumo electrico general del edificio V.2A;10882.0
Consumo electrico general del edificio V.2B;13030.0
Consumo electrico general del edificio V.2C;11565.0
Consumo electrico general del edificio V.2D;10519.0
Consumo electrico general del edificio V.2F;38099.0
Consumo electrico general del edificio V.3B;3767.0
Consumo electrico general del edificio V.3F;19785.0
Consumo electrico general del edificio V.3M;15877.0
Consumo electrico general del edificio V.3N;62936.0
Consumo electrico general del edificio V.3P;31252.0
Consumo electrico general del edificio V.4D;20847.0
Consumo electrico general del edificio V.4F;1138.0
Consumo electrico general del edificio V.4G;11761.0
Consumo electrico general del edificio V.4I;5953.0
Consumo electrico general del edificio V.4J;3763.0
Consumo electrico general del edificio V.4K;20730.0
Consumo electrico general del edificio V.4L;182222.0
Consumo electrico general del edificio V.4P;12276.0
Consumo electrico general del edificio V.4Q;11726.0
Consumo electrico general del edificio V.5E;27021.0
Consumo electrico general del edificio V.5G;1867.0
Consumo electrico general del edificio V.5I;4129.0
Consumo electrico general del edificio V.5K;8567.0
Consumo electrico general del edificio V.5L;6305.0
Consumo electrico general del edificio V.5M;24955.0
Consumo electrico general del edificio V.5N;7983.0
Consumo electrico general del edificio V.5O;4312.0
Consumo electrico general del edificio V.5P;16507.0
Consumo electrico general del edificio V.5R;4438.0
Consumo electrico general del edificio V.5S;3010.0
Consumo electrico general del edificio V.6A;10541.0
Consumo electrico general del edificio V.6C;160739.0
Consumo electrico general del edificio V.6D;50969.0
Consumo electrico general del edificio V.6E;2975.0
Consumo electrico general del edificio V.6F;31061.0
Consumo electrico general del edificio V.6G;30938.0
Consumo electrico general del edificio V.7A;9276.0
Consumo electrico general del edificio V.7C;9881.0
Consumo electrico general del edificio V.7D;8321.0
Consumo electrico general del edificio V.7F;8870.0
Consumo electrico general del edificio V.7G;17447.0
Consumo electrico general del edificio V.7H;26612.0
Consumo electrico general del edificio V.8A;1493.0
Consumo electrico general del edificio V.8C;8634.0
Consumo electrico general del edificio V.8D;20628.0
Consumo electrico general del edificio V.8F;150004.0
Consumo electrico general del edificio V.8H;7408.0
Consumo electrico general del edificio V.8I y V.8J;112610.0
Consumo electrico general del edificio V.8K;5135.0
Consumo electrico general del edificio V.8N;3260.0
Consumo electrico general del edificio V.8P;19647.0
Consumo electrico general del edificio V.9A;2667.0
Consumo electrico general del edificio V.9B;11382.0
Consumo electrico general del edificio V.9C;57751.0
Consumo electrico general del edificio V.9D;12993.0
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;27249.0
G.1A: consumo electrico general del edificio;17871.0
G.1B: consumo electrico general del edificio;14171.0
G.1C: consumo electrico general del edificio;6632.0
G.1D: consumo electrico general del edificio;8345.0
G.1E: consumo electrico general del edificio;9249.0
G.1F: consumo electrico general del edificio;4762.0
G.1G: consumo electrico general del edificio;3252.0
G.1H: consumo electrico general del edificio;28553.0
IIE (prefabricado): consumo electrico general;6.0
V.4N (ICITECH): consumo electrico general;16791.0
