DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;3200
A.1B (Ferrandiz): consumo electrico general;11397
A.1C (Carbonell): consumo electrico general;19986
A.1D (Deportes): consumo electrico general;8284
Consumo electrico del edificio V.5Q;3990
Consumo electrico general;22657
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;759237
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;63190
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;13535
Consumo electrico general de la ETSID: edificios V.7B y V.7E;17089
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;1460
Consumo electrico general de los edificios V.1A, V.1B y V.1D;17920
Consumo electrico general de los edificios V.1E y V.1H;6624
Consumo electrico general de los edificios V.2E y V.3A;29677
Consumo electrico general de los edificios V.5C y V.5D;13016
Consumo electrico general de los edificios V.7I y V.7J;17829
Consumo electrico general del campo de futbol;275
Consumo electrico general del edificio V.1C;2435
Consumo electrico general del edificio V.1F;25721
Consumo electrico general del edificio V.1G;41047
Consumo electrico general del edificio V.2A;5682
Consumo electrico general del edificio V.2B;3754
Consumo electrico general del edificio V.2C;3168
Consumo electrico general del edificio V.2D;5512
Consumo electrico general del edificio V.2F;12462
Consumo electrico general del edificio V.3B;1404
Consumo electrico general del edificio V.3F;10316
Consumo electrico general del edificio V.3M;4113
Consumo electrico general del edificio V.3N;24623
Consumo electrico general del edificio V.3P;2841
Consumo electrico general del edificio V.4D;17383
Consumo electrico general del edificio V.4F;765
Consumo electrico general del edificio V.4G;4473
Consumo electrico general del edificio V.4I;2331
Consumo electrico general del edificio V.4J;358
Consumo electrico general del edificio V.4K;10986
Consumo electrico general del edificio V.4L;142995
Consumo electrico general del edificio V.4P;5557
Consumo electrico general del edificio V.4Q;3926
Consumo electrico general del edificio V.5E;25793
Consumo electrico general del edificio V.5G;2146
Consumo electrico general del edificio V.5I;2899
Consumo electrico general del edificio V.5K;5373
Consumo electrico general del edificio V.5L;2245
Consumo electrico general del edificio V.5M;18683
Consumo electrico general del edificio V.5N;4315
Consumo electrico general del edificio V.5O;5646
Consumo electrico general del edificio V.5P;26148
Consumo electrico general del edificio V.5R;2313
Consumo electrico general del edificio V.5S;2166
Consumo electrico general del edificio V.6A;2606
Consumo electrico general del edificio V.6C;169114
Consumo electrico general del edificio V.6D;13780
Consumo electrico general del edificio V.6E;1111
Consumo electrico general del edificio V.6F;7385
Consumo electrico general del edificio V.6G;23372
Consumo electrico general del edificio V.7A;2186
Consumo electrico general del edificio V.7C;2704
Consumo electrico general del edificio V.7D;3770
Consumo electrico general del edificio V.7F;3500
Consumo electrico general del edificio V.7G;18596
Consumo electrico general del edificio V.7H;74055
Consumo electrico general del edificio V.8A;842
Consumo electrico general del edificio V.8C;7626
Consumo electrico general del edificio V.8D;1010
Consumo electrico general del edificio V.8F;157972
Consumo electrico general del edificio V.8H;5353
Consumo electrico general del edificio V.8I y V.8J;168054
Consumo electrico general del edificio V.8K;5346
Consumo electrico general del edificio V.8N;3437
Consumo electrico general del edificio V.8P;17536
Consumo electrico general del edificio V.9A;1790
Consumo electrico general del edificio V.9B;13129
Consumo electrico general del edificio V.9C;39500
Consumo electrico general del edificio V.9D;2718
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;10664
G.1A: consumo electrico general del edificio;10207
G.1B: consumo electrico general del edificio;5118
G.1C: consumo electrico general del edificio;2745
G.1D: consumo electrico general del edificio;2714
G.1E: consumo electrico general del edificio;6099
G.1F: consumo electrico general del edificio;1684
G.1G: consumo electrico general del edificio;2545
G.1H: consumo electrico general del edificio;9026
IIE (prefabricado): consumo electrico general;7
V.4N (ICITECH): consumo electrico general;4123
