DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;13479.0
A.1B (Ferrandiz): consumo electrico general;26036.0
A.1C (Carbonell): consumo electrico general;44142.0
A.1D (Deportes): consumo electrico general;30632.0
Consumo electrico del edificio V.5Q;18116.0
Consumo electrico general;19934.0
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;554491.0
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;88133.0
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;28157.0
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;3969.0
Consumo electrico general de los edificios V.1A, V.1B y V.1D;62670.0
Consumo electrico general de los edificios V.1E y V.1H;16684.0
Consumo electrico general de los edificios V.2E y V.3A;33258.0
Consumo electrico general de los edificios V.5C y V.5D;18398.0
Consumo electrico general de los edificios V.7I y V.7J;82720.0
Consumo electrico general del campo de futbol;3087.0
Consumo electrico general del edificio V.1C;21000.0
Consumo electrico general del edificio V.1F;40971.0
Consumo electrico general del edificio V.1G;58377.0
Consumo electrico general del edificio V.2A;14152.0
Consumo electrico general del edificio V.2B;19484.0
Consumo electrico general del edificio V.2C;12846.0
Consumo electrico general del edificio V.2D;13214.0
Consumo electrico general del edificio V.2F;49720.0
Consumo electrico general del edificio V.3B;4457.0
Consumo electrico general del edificio V.3F;17721.0
Consumo electrico general del edificio V.3M;14500.0
Consumo electrico general del edificio V.3N;63946.0
Consumo electrico general del edificio V.3P;32694.0
Consumo electrico general del edificio V.4D;22814.0
Consumo electrico general del edificio V.4F;1547.0
Consumo electrico general del edificio V.4G;11551.0
Consumo electrico general del edificio V.4I;4576.0
Consumo electrico general del edificio V.4J;2938.0
Consumo electrico general del edificio V.4K;24065.0
Consumo electrico general del edificio V.4L;176359.0
Consumo electrico general del edificio V.4P;15447.0
Consumo electrico general del edificio V.4Q;12386.0
Consumo electrico general del edificio V.5E;28652.0
Consumo electrico general del edificio V.5G;2237.0
Consumo electrico general del edificio V.5I;4252.0
Consumo electrico general del edificio V.5K;9990.0
Consumo electrico general del edificio V.5L;7624.0
Consumo electrico general del edificio V.5M;22329.0
Consumo electrico general del edificio V.5N;12624.0
Consumo electrico general del edificio V.5O;6199.0
Consumo electrico general del edificio V.5P;14061.0
Consumo electrico general del edificio V.5R;5032.0
Consumo electrico general del edificio V.5S;3693.0
Consumo electrico general del edificio V.6A;10135.0
Consumo electrico general del edificio V.6C;147888.0
Consumo electrico general del edificio V.6D;49922.0
Consumo electrico general del edificio V.6E;3889.0
Consumo electrico general del edificio V.6F;31943.0
Consumo electrico general del edificio V.6G;35799.0
Consumo electrico general del edificio V.7A;11793.0
Consumo electrico general del edificio V.7C;11824.0
Consumo electrico general del edificio V.7D;10426.0
Consumo electrico general del edificio V.7F;10617.0
Consumo electrico general del edificio V.7G;20762.0
Consumo electrico general del edificio V.7H;30634.0
Consumo electrico general del edificio V.8A;1484.0
Consumo electrico general del edificio V.8C;8747.0
Consumo electrico general del edificio V.8D;23209.0
Consumo electrico general del edificio V.8F;172754.0
Consumo electrico general del edificio V.8H;8983.0
Consumo electrico general del edificio V.8I y V.8J;128972.0
Consumo electrico general del edificio V.8K;4864.0
Consumo electrico general del edificio V.8N;4731.0
Consumo electrico general del edificio V.8P;15163.0
Consumo electrico general del edificio V.9A;2751.0
Consumo electrico general del edificio V.9B;10927.0
Consumo electrico general del edificio V.9C;37504.0
Consumo electrico general del edificio V.9D;16132.0
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;34292.0
G.1A: consumo electrico general del edificio;22942.0
G.1B: consumo electrico general del edificio;17896.0
G.1C: consumo electrico general del edificio;43146.0
G.1D: consumo electrico general del edificio;10131.0
G.1E: consumo electrico general del edificio;9917.0
G.1F: consumo electrico general del edificio;5657.0
G.1G: consumo electrico general del edificio;7506.0
G.1H: consumo electrico general del edificio;33901.0
IIE (prefabricado): consumo electrico general;36.0
V.4N (ICITECH): consumo electrico general;6782.0
