DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;14386.0
A.1B (Ferrandiz): consumo electrico general;27283.0
A.1C (Carbonell): consumo electrico general;54527.0
A.1D (Deportes): consumo electrico general;37602.0
Consumo electrico del edificio V.5Q;26811.0
Consumo electrico general;20968.0
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;574802.0
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;106818.0
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;33167.0
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;4496.0
Consumo electrico general de los edificios V.1A, V.1B y V.1D;69838.0
Consumo electrico general de los edificios V.1E y V.1H;17531.0
Consumo electrico general de los edificios V.2E y V.3A;38993.0
Consumo electrico general de los edificios V.5C y V.5D;24913.0
Consumo electrico general de los edificios V.7I y V.7J;127651.0
Consumo electrico general del campo de futbol;3178.0
Consumo electrico general del edificio V.1C;28579.0
Consumo electrico general del edificio V.1F;46230.0
Consumo electrico general del edificio V.1G;58281.0
Consumo electrico general del edificio V.2A;20515.0
Consumo electrico general del edificio V.2B;25634.0
Consumo electrico general del edificio V.2C;20764.0
Consumo electrico general del edificio V.2D;20572.0
Consumo electrico general del edificio V.2F;70487.0
Consumo electrico general del edificio V.3B;6067.0
Consumo electrico general del edificio V.3F;17891.0
Consumo electrico general del edificio V.3M;18840.0
Consumo electrico general del edificio V.3N;75871.0
Consumo electrico general del edificio V.3P;35252.0
Consumo electrico general del edificio V.4D;28813.0
Consumo electrico general del edificio V.4F;1671.0
Consumo electrico general del edificio V.4G;15489.0
Consumo electrico general del edificio V.4I;6336.0
Consumo electrico general del edificio V.4J;4809.0
Consumo electrico general del edificio V.4K;32370.0
Consumo electrico general del edificio V.4L;182369.0
Consumo electrico general del edificio V.4P;18051.0
Consumo electrico general del edificio V.4Q;12753.0
Consumo electrico general del edificio V.5E;35980.0
Consumo electrico general del edificio V.5G;6252.0
Consumo electrico general del edificio V.5I;5559.0
Consumo electrico general del edificio V.5K;11253.0
Consumo electrico general del edificio V.5L;9310.0
Consumo electrico general del edificio V.5M;23632.0
Consumo electrico general del edificio V.5N;15127.0
Consumo electrico general del edificio V.5O;7477.0
Consumo electrico general del edificio V.5P;15955.0
Consumo electrico general del edificio V.5R;5968.0
Consumo electrico general del edificio V.5S;5960.0
Consumo electrico general del edificio V.6A;10698.0
Consumo electrico general del edificio V.6C;149759.0
Consumo electrico general del edificio V.6D;67083.0
Consumo electrico general del edificio V.6E;5192.0
Consumo electrico general del edificio V.6F;35099.0
Consumo electrico general del edificio V.6G;46472.0
Consumo electrico general del edificio V.7A;16331.0
Consumo electrico general del edificio V.7C;15460.0
Consumo electrico general del edificio V.7D;13090.0
Consumo electrico general del edificio V.7F;36990.0
Consumo electrico general del edificio V.7G;24972.0
Consumo electrico general del edificio V.7H;33521.0
Consumo electrico general del edificio V.8A;2511.0
Consumo electrico general del edificio V.8C;7985.0
Consumo electrico general del edificio V.8D;24587.0
Consumo electrico general del edificio V.8F;173882.0
Consumo electrico general del edificio V.8H;10415.0
Consumo electrico general del edificio V.8I y V.8J;118248.0
Consumo electrico general del edificio V.8K;6856.0
Consumo electrico general del edificio V.8N;6420.0
Consumo electrico general del edificio V.8P;17258.0
Consumo electrico general del edificio V.9A;2955.0
Consumo electrico general del edificio V.9B;13385.0
Consumo electrico general del edificio V.9C;46169.0
Consumo electrico general del edificio V.9D;19238.0
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;45980.0
G.1A: consumo electrico general del edificio;36981.0
G.1B: consumo electrico general del edificio;24855.0
G.1C: consumo electrico general del edificio;46831.0
G.1D: consumo electrico general del edificio;94808.0
G.1E: consumo electrico general del edificio;13336.0
G.1F: consumo electrico general del edificio;8415.0
G.1G: consumo electrico general del edificio;11363.0
G.1H: consumo electrico general del edificio;48891.0
IIE (prefabricado): consumo electrico general;27.0
V.4N (ICITECH): consumo electrico general;10056.0
