DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;2799
A.1B (Ferrandiz): consumo electrico general;48212
A.1C (Carbonell): consumo electrico general;91253
A.1D (Deportes): consumo electrico general;42126
Consumo electrico del edificio V.5Q;4372
Consumo electrico general;28020
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;1085243
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;110251
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;44015
Consumo electrico general de la ETSID: edificios V.7B y V.7E;75091
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;3312
Consumo electrico general de los edificios V.1A, V.1B y V.1D;68437
Consumo electrico general de los edificios V.1E y V.1H;38362
Consumo electrico general de los edificios V.2E y V.3A;75870
Consumo electrico general de los edificios V.5C y V.5D;40518
Consumo electrico general de los edificios V.7I y V.7J;123202
Consumo electrico general del campo de futbol;1546
Consumo electrico general del edificio V.1C;27445
Consumo electrico general del edificio V.1F;60913
Consumo electrico general del edificio V.1G;70856
Consumo electrico general del edificio V.2A;16597
Consumo electrico general del edificio V.2B;29650
Consumo electrico general del edificio V.2C;23869
Consumo electrico general del edificio V.2D;28164
Consumo electrico general del edificio V.2F;76230
Consumo electrico general del edificio V.3B;5630
Consumo electrico general del edificio V.3F;24438
Consumo electrico general del edificio V.3M;1671
Consumo electrico general del edificio V.3N;114477
Consumo electrico general del edificio V.3P;85941
Consumo electrico general del edificio V.4D;33765
Consumo electrico general del edificio V.4F;1323
Consumo electrico general del edificio V.4G;14961
Consumo electrico general del edificio V.4I;9055
Consumo electrico general del edificio V.4J;441
Consumo electrico general del edificio V.4K;45115
Consumo electrico general del edificio V.4L;238292
Consumo electrico general del edificio V.4P;27440
Consumo electrico general del edificio V.4Q;20615
Consumo electrico general del edificio V.5E;51582
Consumo electrico general del edificio V.5G;3277
Consumo electrico general del edificio V.5I;7384
Consumo electrico general del edificio V.5K;18080
Consumo electrico general del edificio V.5L;5202
Consumo electrico general del edificio V.5M;39122
Consumo electrico general del edificio V.5N;12214
Consumo electrico general del edificio V.5O;6005
Consumo electrico general del edificio V.5P;27714
Consumo electrico general del edificio V.5R;9942
Consumo electrico general del edificio V.5S;6079
Consumo electrico general del edificio V.6A;10009
Consumo electrico general del edificio V.6C;206556
Consumo electrico general del edificio V.6D;91653
Consumo electrico general del edificio V.6E;6083
Consumo electrico general del edificio V.6F;29064
Consumo electrico general del edificio V.6G;58266
Consumo electrico general del edificio V.7A;22172
Consumo electrico general del edificio V.7C;21001
Consumo electrico general del edificio V.7D;12420
Consumo electrico general del edificio V.7F;12895
Consumo electrico general del edificio V.7G;34823
Consumo electrico general del edificio V.7H;99890
Consumo electrico general del edificio V.8A;1868
Consumo electrico general del edificio V.8C;11704
Consumo electrico general del edificio V.8D;31814
Consumo electrico general del edificio V.8F;231486
Consumo electrico general del edificio V.8H;14148
Consumo electrico general del edificio V.8I y V.8J;173734
Consumo electrico general del edificio V.8K;10729
Consumo electrico general del edificio V.8N;4631
Consumo electrico general del edificio V.8P;40551
Consumo electrico general del edificio V.9A;5401
Consumo electrico general del edificio V.9B;16781
Consumo electrico general del edificio V.9C;93434
Consumo electrico general del edificio V.9D;19220
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;54151
G.1A: consumo electrico general del edificio;32965
G.1B: consumo electrico general del edificio;29016
G.1C: consumo electrico general del edificio;15580
G.1D: consumo electrico general del edificio;12321
G.1E: consumo electrico general del edificio;13549
G.1F: consumo electrico general del edificio;10390
G.1G: consumo electrico general del edificio;6926
G.1H: consumo electrico general del edificio;35001
IIE (prefabricado): consumo electrico general;5
V.4N (ICITECH): consumo electrico general;11701
