DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;2886.0
A.1B (Ferrandiz): consumo electrico general;43332.0
A.1C (Carbonell): consumo electrico general;65921.0
A.1D (Deportes): consumo electrico general;36119.0
Consumo electrico del edificio V.5Q;3775.0
Consumo electrico general;23815.0
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;831849.0
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;88524.0
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;28908.0
Consumo electrico general de la ETSID: edificios V.7B y V.7E;62351.0
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;3039.0
Consumo electrico general de los edificios V.1A, V.1B y V.1D;47633.0
Consumo electrico general de los edificios V.1E y V.1H;28156.0
Consumo electrico general de los edificios V.2E y V.3A;52768.0
Consumo electrico general de los edificios V.5C y V.5D;27500.0
Consumo electrico general de los edificios V.7I y V.7J;82112.0
Consumo electrico general del campo de futbol;1174.0
Consumo electrico general del edificio V.1C;14501.0
Consumo electrico general del edificio V.1F;46323.0
Consumo electrico general del edificio V.1G;61518.0
Consumo electrico general del edificio V.2A;10382.0
Consumo electrico general del edificio V.2B;15569.0
Consumo electrico general del edificio V.2C;13437.0
Consumo electrico general del edificio V.2D;13570.0
Consumo electrico general del edificio V.2F;41401.0
Consumo electrico general del edificio V.3B;3721.0
Consumo electrico general del edificio V.3F;22327.0
Consumo electrico general del edificio V.3M;10276.0
Consumo electrico general del edificio V.3N;102834.0
Consumo electrico general del edificio V.3P;56450.0
Consumo electrico general del edificio V.4D;29738.0
Consumo electrico general del edificio V.4F;991.0
Consumo electrico general del edificio V.4G;10802.0
Consumo electrico general del edificio V.4I;3815.0
Consumo electrico general del edificio V.4J;1071.0
Consumo electrico general del edificio V.4K;47089.0
Consumo electrico general del edificio V.4L;232958.0
Consumo electrico general del edificio V.4P;18660.0
Consumo electrico general del edificio V.4Q;16414.0
Consumo electrico general del edificio V.5E;34930.0
Consumo electrico general del edificio V.5G;3047.0
Consumo electrico general del edificio V.5I;5369.0
Consumo electrico general del edificio V.5K;10973.0
Consumo electrico general del edificio V.5L;4039.0
Consumo electrico general del edificio V.5M;28748.0
Consumo electrico general del edificio V.5N;18073.0
Consumo electrico general del edificio V.5O;4407.0
Consumo electrico general del edificio V.5P;19861.0
Consumo electrico general del edificio V.5R;6171.0
Consumo electrico general del edificio V.5S;4118.0
Consumo electrico general del edificio V.6A;9491.0
Consumo electrico general del edificio V.6C;164948.0
Consumo electrico general del edificio V.6D;65184.0
Consumo electrico general del edificio V.6E;3672.0
Consumo electrico general del edificio V.6F;30307.0
Consumo electrico general del edificio V.6G;47389.0
Consumo electrico general del edificio V.7A;12978.0
Consumo electrico general del edificio V.7C;15336.0
Consumo electrico general del edificio V.7D;8362.0
Consumo electrico general del edificio V.7F;9274.0
Consumo electrico general del edificio V.7G;29427.0
Consumo electrico general del edificio V.7H;69883.0
Consumo electrico general del edificio V.8A;917.0
Consumo electrico general del edificio V.8C;9985.0
Consumo electrico general del edificio V.8D;25977.0
Consumo electrico general del edificio V.8F;189254.0
Consumo electrico general del edificio V.8H;9862.0
Consumo electrico general del edificio V.8I y V.8J;136036.0
Consumo electrico general del edificio V.8K;6992.0
Consumo electrico general del edificio V.8N;3292.0
Consumo electrico general del edificio V.8P;26316.0
Consumo electrico general del edificio V.9A;3510.0
Consumo electrico general del edificio V.9B;11942.0
Consumo electrico general del edificio V.9C;69668.0
Consumo electrico general del edificio V.9D;19439.0
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;34680.0
G.1A: consumo electrico general del edificio;24286.0
G.1B: consumo electrico general del edificio;21531.0
G.1C: consumo electrico general del edificio;10922.0
G.1D: consumo electrico general del edificio;5427.0
G.1E: consumo electrico general del edificio;9325.0
G.1F: consumo electrico general del edificio;7160.0
G.1G: consumo electrico general del edificio;7357.0
G.1H: consumo electrico general del edificio;22481.0
IIE (prefabricado): consumo electrico general;143.0
V.4N (ICITECH): consumo electrico general;6678.0
