DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;10416.0
A.1B (Ferrandiz): consumo electrico general;26468.0
A.1C (Carbonell): consumo electrico general;44323.0
A.1D (Deportes): consumo electrico general;34373.0
Consumo electrico del edificio V.5Q;18159.0
Consumo electrico general;19967.0
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;638448.0
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;78066.0
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;26385.0
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;5037.0
Consumo electrico general de los edificios V.1A, V.1B y V.1D;55421.0
Consumo electrico general de los edificios V.1E y V.1H;20308.0
Consumo electrico general de los edificios V.2E y V.3A;30161.0
Consumo electrico general de los edificios V.5C y V.5D;17905.0
Consumo electrico general de los edificios V.7I y V.7J;83198.0
Consumo electrico general del campo de futbol;2800.0
Consumo electrico general del edificio V.1C;14050.0
Consumo electrico general del edificio V.1F;37261.0
Consumo electrico general del edificio V.1G;59655.0
Consumo electrico general del edificio V.2A;11459.0
Consumo electrico general del edificio V.2B;13197.0
Consumo electrico general del edificio V.2C;11434.0
Consumo electrico general del edificio V.2D;12362.0
Consumo electrico general del edificio V.2F;41282.0
Consumo electrico general del edificio V.3B;4117.0
Consumo electrico general del edificio V.3F;19821.0
Consumo electrico general del edificio V.3M;17244.0
Consumo electrico general del edificio V.3N;66344.0
Consumo electrico general del edificio V.3P;34253.0
Consumo electrico general del edificio V.4D;22029.0
Consumo electrico general del edificio V.4F;1238.0
Consumo electrico general del edificio V.4G;12895.0
Consumo electrico general del edificio V.4I;4954.0
Consumo electrico general del edificio V.4J;4197.0
Consumo electrico general del edificio V.4K;21907.0
Consumo electrico general del edificio V.4L;179754.0
Consumo electrico general del edificio V.4P;13987.0
Consumo electrico general del edificio V.4Q;12234.0
Consumo electrico general del edificio V.5E;28910.0
Consumo electrico general del edificio V.5G;3328.0
Consumo electrico general del edificio V.5I;4070.0
Consumo electrico general del edificio V.5K;8223.0
Consumo electrico general del edificio V.5L;6609.0
Consumo electrico general del edificio V.5M;25956.0
Consumo electrico general del edificio V.5N;10130.0
Consumo electrico general del edificio V.5O;5798.0
Consumo electrico general del edificio V.5P;17328.0
Consumo electrico general del edificio V.5R;4540.0
Consumo electrico general del edificio V.5S;3207.0
Consumo electrico general del edificio V.6A;10706.0
Consumo electrico general del edificio V.6C;162407.0
Consumo electrico general del edificio V.6D;58316.0
Consumo electrico general del edificio V.6E;3350.0
Consumo electrico general del edificio V.6F;34290.0
Consumo electrico general del edificio V.6G;35990.0
Consumo electrico general del edificio V.7A;9789.0
Consumo electrico general del edificio V.7C;10503.0
Consumo electrico general del edificio V.7D;8288.0
Consumo electrico general del edificio V.7F;9145.0
Consumo electrico general del edificio V.7G;19561.0
Consumo electrico general del edificio V.7H;33357.0
Consumo electrico general del edificio V.8A;2099.0
Consumo electrico general del edificio V.8C;9938.0
Consumo electrico general del edificio V.8D;23865.0
Consumo electrico general del edificio V.8F;167150.0
Consumo electrico general del edificio V.8H;7844.0
Consumo electrico general del edificio V.8I y V.8J;127528.0
Consumo electrico general del edificio V.8K;5249.0
Consumo electrico general del edificio V.8N;3112.0
Consumo electrico general del edificio V.8P;32143.0
Consumo electrico general del edificio V.9A;3064.0
Consumo electrico general del edificio V.9B;12005.0
Consumo electrico general del edificio V.9C;61126.0
Consumo electrico general del edificio V.9D;14336.0
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;31525.0
G.1A: consumo electrico general del edificio;23597.0
G.1B: consumo electrico general del edificio;16294.0
G.1C: consumo electrico general del edificio;7501.0
G.1D: consumo electrico general del edificio;9765.0
G.1E: consumo electrico general del edificio;9305.0
G.1F: consumo electrico general del edificio;5347.0
G.1G: consumo electrico general del edificio;5139.0
G.1H: consumo electrico general del edificio;30201.0
IIE (prefabricado): consumo electrico general;7.0
V.4N (ICITECH): consumo electrico general;7672.0
