DESCRIPCION;CONSUMO
A.1B (Ferrandiz): consumo electrico general;34194.0
A.1C (Carbonell): consumo electrico general;50483.0
A.1D (Deportes): consumo electrico general;34445.0
Consumo electrico del edificio V.5Q;4912.0
Consumo electrico general;23552.0
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;731203.0
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;76535.0
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;27238.0
Consumo electrico general de la ETSID: edificios V.7B y V.7E;49316.0
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;3917.0
Consumo electrico general de los edificios V.1A, V.1B y V.1D;49754.0
Consumo electrico general de los edificios V.1E y V.1H;24628.0
Consumo electrico general de los edificios V.2E y V.3A;43142.0
Consumo electrico general de los edificios V.5C y V.5D;23568.0
Consumo electrico general de los edificios V.7I y V.7J;70684.0
Consumo electrico general del campo de futbol;1636.0
Consumo electrico general del edificio V.1C;12344.0
Consumo electrico general del edificio V.1F;41563.0
Consumo electrico general del edificio V.1G;61996.0
Consumo electrico general del edificio V.2A;9208.0
Consumo electrico general del edificio V.2B;7666.0
Consumo electrico general del edificio V.2C;10392.0
Consumo electrico general del edificio V.2D;8709.0
Consumo electrico general del edificio V.2F;29461.0
Consumo electrico general del edificio V.3B;3711.0
Consumo electrico general del edificio V.3F;23126.0
Consumo electrico general del edificio V.3M;20418.0
Consumo electrico general del edificio V.3N;99222.0
Consumo electrico general del edificio V.3P;47498.0
Consumo electrico general del edificio V.4D;28025.0
Consumo electrico general del edificio V.4F;1357.0
Consumo electrico general del edificio V.4G;11595.0
Consumo electrico general del edificio V.4I;5645.0
Consumo electrico general del edificio V.4J;1577.0
Consumo electrico general del edificio V.4K;34319.0
Consumo electrico general del edificio V.4L;219330.0
Consumo electrico general del edificio V.4P;16743.0
Consumo electrico general del edificio V.4Q;16050.0
Consumo electrico general del edificio V.5E;32446.0
Consumo electrico general del edificio V.5G;2825.0
Consumo electrico general del edificio V.5I;5298.0
Consumo electrico general del edificio V.5K;10032.0
Consumo electrico general del edificio V.5L;4448.0
Consumo electrico general del edificio V.5M;27995.0
Consumo electrico general del edificio V.5N;12708.0
Consumo electrico general del edificio V.5O;4201.0
Consumo electrico general del edificio V.5P;17787.0
Consumo electrico general del edificio V.5R;5541.0
Consumo electrico general del edificio V.5S;3659.0
Consumo electrico general del edificio V.6A;11443.0
Consumo electrico general del edificio V.6C;177704.0
Consumo electrico general del edificio V.6D;58719.0
Consumo electrico general del edificio V.6E;3335.0
Consumo electrico general del edificio V.6F;32289.0
Consumo electrico general del edificio V.6G;39950.0
Consumo electrico general del edificio V.7A;10468.0
Consumo electrico general del edificio V.7C;13823.0
Consumo electrico general del edificio V.7D;8618.0
Consumo electrico general del edificio V.7F;9249.0
Consumo electrico general del edificio V.7G;24493.0
Consumo electrico general del edificio V.7H;41555.0
Consumo electrico general del edificio V.8A;1115.0
Consumo electrico general del edificio V.8C;9663.0
Consumo electrico general del edificio V.8D;24075.0
Consumo electrico general del edificio V.8F;169946.0
Consumo electrico general del edificio V.8H;8345.0
Consumo electrico general del edificio V.8I y V.8J;128592.0
Consumo electrico general del edificio V.8K;5694.0
Consumo electrico general del edificio V.8N;2948.0
Consumo electrico general del edificio V.8P;17972.0
Consumo electrico general del edificio V.9A;2985.0
Consumo electrico general del edificio V.9B;12315.0
Consumo electrico general del edificio V.9C;71546.0
Consumo electrico general del edificio V.9D;18546.0
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;32638.0
G.1A: consumo electrico general del edificio;16082.0
G.1B: consumo electrico general del edificio;10981.0
G.1C: consumo electrico general del edificio;8466.0
G.1D: consumo electrico general del edificio;4649.0
G.1E: consumo electrico general del edificio;7050.0
G.1F: consumo electrico general del edificio;4711.0
G.1G: consumo electrico general del edificio;3688.0
G.1H: consumo electrico general del edificio;19647.0
IIE (prefabricado): consumo electrico general;110.0
V.4N (ICITECH): consumo electrico general;9914.0
