DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;13491.0
A.1B (Ferrandiz): consumo electrico general;31616.0
A.1C (Carbonell): consumo electrico general;52524.0
A.1D (Deportes): consumo electrico general;39097.0
Consumo electrico del edificio V.5Q;18375.0
Consumo electrico general;20759.0
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;579004.0
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;91090.0
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;30747.0
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;4310.0
Consumo electrico general de los edificios V.1A, V.1B y V.1D;67495.0
Consumo electrico general de los edificios V.1E y V.1H;20241.0
Consumo electrico general de los edificios V.2E y V.3A;35950.0
Consumo electrico general de los edificios V.5C y V.5D;23306.0
Consumo electrico general de los edificios V.7I y V.7J;85482.0
Consumo electrico general del campo de futbol;4281.0
Consumo electrico general del edificio V.1C;20750.0
Consumo electrico general del edificio V.1F;41940.0
Consumo electrico general del edificio V.1G;59446.0
Consumo electrico general del edificio V.2A;15882.0
Consumo electrico general del edificio V.2B;24437.0
Consumo electrico general del edificio V.2C;15101.0
Consumo electrico general del edificio V.2D;15254.0
Consumo electrico general del edificio V.2F;55657.0
Consumo electrico general del edificio V.3B;5200.0
Consumo electrico general del edificio V.3F;20571.0
Consumo electrico general del edificio V.3M;18478.0
Consumo electrico general del edificio V.3N;79213.0
Consumo electrico general del edificio V.3P;42224.0
Consumo electrico general del edificio V.4D;25726.0
Consumo electrico general del edificio V.4F;1818.0
Consumo electrico general del edificio V.4G;14419.0
Consumo electrico general del edificio V.4I;6483.0
Consumo electrico general del edificio V.4K;25647.0
Consumo electrico general del edificio V.4L;178746.0
Consumo electrico general del edificio V.4P;17181.0
Consumo electrico general del edificio V.4Q;15995.0
Consumo electrico general del edificio V.5E;33945.0
Consumo electrico general del edificio V.5G;2819.0
Consumo electrico general del edificio V.5I;4696.0
Consumo electrico general del edificio V.5K;10376.0
Consumo electrico general del edificio V.5L;7998.0
Consumo electrico general del edificio V.5M;27039.0
Consumo electrico general del edificio V.5N;15910.0
Consumo electrico general del edificio V.5O;5885.0
Consumo electrico general del edificio V.5P;12839.0
Consumo electrico general del edificio V.5R;5400.0
Consumo electrico general del edificio V.5S;3604.0
Consumo electrico general del edificio V.6A;12398.0
Consumo electrico general del edificio V.6C;148771.0
Consumo electrico general del edificio V.6D;57908.0
Consumo electrico general del edificio V.6E;4203.0
Consumo electrico general del edificio V.6F;34207.0
Consumo electrico general del edificio V.6G;41618.0
Consumo electrico general del edificio V.7A;13723.0
Consumo electrico general del edificio V.7C;13409.0
Consumo electrico general del edificio V.7D;11183.0
Consumo electrico general del edificio V.7F;11368.0
Consumo electrico general del edificio V.7G;23364.0
Consumo electrico general del edificio V.7H;29940.0
Consumo electrico general del edificio V.8A;1292.0
Consumo electrico general del edificio V.8C;9183.0
Consumo electrico general del edificio V.8D;24270.0
Consumo electrico general del edificio V.8F;164320.0
Consumo electrico general del edificio V.8H;9798.0
Consumo electrico general del edificio V.8I y V.8J;118246.0
Consumo electrico general del edificio V.8K;5175.0
Consumo electrico general del edificio V.8N;3380.0
Consumo electrico general del edificio V.8P;28889.0
Consumo electrico general del edificio V.9A;3585.0
Consumo electrico general del edificio V.9B;12396.0
Consumo electrico general del edificio V.9C;52421.0
Consumo electrico general del edificio V.9D;17945.0
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;37232.0
G.1A: consumo electrico general del edificio;27957.0
G.1B: consumo electrico general del edificio;17901.0
G.1C: consumo electrico general del edificio;20060.0
G.1D: consumo electrico general del edificio;9755.0
G.1E: consumo electrico general del edificio;10116.0
G.1F: consumo electrico general del edificio;6663.0
G.1G: consumo electrico general del edificio;4967.0
G.1H: consumo electrico general del edificio;31722.0
IIE (prefabricado): consumo electrico general;45.0
V.4N (ICITECH): consumo electrico general;5344.0
