DESCRIPCION;CONSUMO
0A: Consumo electrico general del alumbrado publico;9940
A.1B (Ferrandiz): consumo electrico general;50089
A.1C (Carbonell): consumo electrico general;71096
A.1D (Deportes): consumo electrico general;33117
Consumo electrico del edificio V.5Q;3104
Consumo electrico general;24753
Consumo electrico general de la CPI: edificios V.8G, V.8E, V.8B, V.8M;814175
Consumo electrico general de la ETSIAMN: edificios V.3C, V.3G, V.3H, V.3I, V.3J, V.3K;109472
Consumo electrico general de la ETSICCyP: edificios V.4A, V.4E, V.4H;40572
Consumo electrico general de la ETSID: edificios V.7B y V.7E;7754
Consumo electrico general de las pistas deportivas junto al edificio V.7C y el aparcamiento P7B;3393
Consumo electrico general de los edificios V.1A, V.1B y V.1D;61864
Consumo electrico general de los edificios V.1E y V.1H;32323
Consumo electrico general de los edificios V.2E y V.3A;65420
Consumo electrico general de los edificios V.5C y V.5D;48254
Consumo electrico general de los edificios V.7I y V.7J;116519
Consumo electrico general del campo de futbol;2506
Consumo electrico general del edificio V.1C;23241
Consumo electrico general del edificio V.1F;48752
Consumo electrico general del edificio V.1G;78659
Consumo electrico general del edificio V.2A;13471
Consumo electrico general del edificio V.2B;24793
Consumo electrico general del edificio V.2C;16363
Consumo electrico general del edificio V.2D;22349
Consumo electrico general del edificio V.2F;70805
Consumo electrico general del edificio V.3B;4771
Consumo electrico general del edificio V.3F;15818
Consumo electrico general del edificio V.3M;12038
Consumo electrico general del edificio V.3N;138901
Consumo electrico general del edificio V.3P;83261
Consumo electrico general del edificio V.4D;39180
Consumo electrico general del edificio V.4F;1595
Consumo electrico general del edificio V.4G;19467
Consumo electrico general del edificio V.4I;6098
Consumo electrico general del edificio V.4K;36614
Consumo electrico general del edificio V.4L;221579
Consumo electrico general del edificio V.4P;27673
Consumo electrico general del edificio V.4Q;22172
Consumo electrico general del edificio V.5E;45300
Consumo electrico general del edificio V.5G;2290
Consumo electrico general del edificio V.5I;5666
Consumo electrico general del edificio V.5K;12258
Consumo electrico general del edificio V.5L;8030
Consumo electrico general del edificio V.5M;33918
Consumo electrico general del edificio V.5N;28835
Consumo electrico general del edificio V.5O;5914
Consumo electrico general del edificio V.5P;20463
Consumo electrico general del edificio V.5R;7341
Consumo electrico general del edificio V.5S;5212
Consumo electrico general del edificio V.6A;11119
Consumo electrico general del edificio V.6C;176510
Consumo electrico general del edificio V.6D;76871
Consumo electrico general del edificio V.6E;4381
Consumo electrico general del edificio V.6F;24559
Consumo electrico general del edificio V.6G;46989
Consumo electrico general del edificio V.7A;19560
Consumo electrico general del edificio V.7C;15717
Consumo electrico general del edificio V.7D;12913
Consumo electrico general del edificio V.7F;12006
Consumo electrico general del edificio V.7G;32087
Consumo electrico general del edificio V.7H;66705
Consumo electrico general del edificio V.8A;1262
Consumo electrico general del edificio V.8C;10165
Consumo electrico general del edificio V.8D;26737
Consumo electrico general del edificio V.8F;206212
Consumo electrico general del edificio V.8H;10578
Consumo electrico general del edificio V.8I y V.8J;161960
Consumo electrico general del edificio V.8K;6921
Consumo electrico general del edificio V.8N;369
Consumo electrico general del edificio V.8P;45880
Consumo electrico general del edificio V.9A;4591
Consumo electrico general del edificio V.9B;14130
Consumo electrico general del edificio V.9C;56106
Consumo electrico general del edificio V.9D;23308
Consumo energetico general de la ETSII: edificios V.5F, V.5H y V.5J;49816
G.1A: consumo electrico general del edificio;34395
G.1B: consumo electrico general del edificio;22495
G.1C: consumo electrico general del edificio;80137
G.1D: consumo electrico general del edificio;10284
G.1E: consumo electrico general del edificio;11130
G.1F: consumo electrico general del edificio;11436
G.1G: consumo electrico general del edificio;6262
G.1H: consumo electrico general del edificio;31147
IIE (prefabricado): consumo electrico general;18
V.4N (ICITECH): consumo electrico general;6308
